s,C,%,ug/m3,
Time,temp,humid,density_CO,
184 ,64.026834 ,5.277227 ,15.958036 ,
185 ,60.603769 ,6.263286 ,14.095926 ,
186 ,78.937104 ,3.369413 ,20.507159 ,
187 ,86.828942 ,2.378147 ,23.297267 ,
188 ,78.930847 ,3.183568 ,20.248412 ,
190 ,73.137032 ,3.737092 ,17.984565 ,
191 ,72.545758 ,3.981731 ,17.438982 ,
192 ,51.208596 ,10.122786 ,11.711021 ,
193 ,68.365098 ,4.553646 ,18.106796 ,
194 ,71.337942 ,5.514458 ,18.702039 ,
196 ,69.379684 ,5.087342 ,17.161073 ,
197 ,69.294527 ,5.237225 ,17.651492 ,
198 ,68.024533 ,4.707085 ,16.911235 ,
199 ,80.605221 ,2.938347 ,21.152313 ,
200 ,71.266754 ,3.984644 ,17.224995 ,
202 ,72.490247 ,3.984130 ,18.972182 ,
203 ,71.417956 ,4.417386 ,18.769632 ,
204 ,73.047088 ,4.116557 ,19.288318 ,
205 ,81.934411 ,2.941339 ,22.163599 ,
206 ,69.233533 ,4.301380 ,16.589906 ,
208 ,80.957573 ,2.854189 ,20.632198 ,
209 ,74.095138 ,3.655082 ,18.992069 ,
210 ,65.342760 ,5.234585 ,16.591773 ,
211 ,75.504712 ,3.485390 ,19.127543 ,
212 ,56.850678 ,7.677947 ,11.867026 ,
214 ,64.801486 ,5.720586 ,16.334392 ,
215 ,65.220981 ,5.145563 ,16.911684 ,
216 ,75.234826 ,3.558266 ,18.813906 ,
217 ,83.397890 ,2.604611 ,21.451727 ,
218 ,71.583703 ,3.907032 ,17.505201 ,
220 ,67.337393 ,4.724621 ,17.069271 ,
221 ,70.529717 ,4.353085 ,18.467415 ,
222 ,74.188565 ,3.939083 ,19.436910 ,
223 ,74.670711 ,3.545044 ,19.391965 ,
224 ,75.345039 ,3.554919 ,19.112074 ,
226 ,79.019214 ,3.016391 ,20.071224 ,
227 ,72.018871 ,4.051157 ,18.327830 ,
228 ,64.034736 ,5.386042 ,16.695934 ,
229 ,72.447810 ,3.893450 ,18.712845 ,
230 ,54.057621 ,7.928288 ,11.383991 ,
232 ,67.045335 ,4.624638 ,16.416145 ,
233 ,70.910157 ,4.519971 ,18.230393 ,
234 ,73.835816 ,4.593204 ,19.118270 ,
235 ,75.530547 ,3.490418 ,19.059646 ,
236 ,82.530286 ,2.834748 ,21.305057 ,
238 ,90.581372 ,2.143438 ,23.585418 ,
239 ,79.378328 ,3.327466 ,19.419566 ,
240 ,70.931032 ,4.032322 ,17.235153 ,
241 ,82.025775 ,2.843542 ,20.771273 ,
242 ,69.183965 ,4.957109 ,17.726656 ,
244 ,74.854649 ,3.871535 ,19.495004 ,
245 ,80.972688 ,3.000411 ,21.814496 ,
246 ,85.170113 ,2.451624 ,21.721927 ,
247 ,82.893032 ,2.705356 ,21.778585 ,
248 ,77.645165 ,3.253894 ,19.295223 ,
250 ,78.129433 ,3.087902 ,19.316803 ,
251 ,69.942077 ,4.182449 ,17.530343 ,
252 ,71.583507 ,4.079107 ,18.264327 ,
253 ,51.716430 ,9.092307 ,10.110707 ,
254 ,54.467274 ,7.567486 ,11.326989 ,
256 ,54.391393 ,7.514762 ,11.451261 ,
257 ,47.519138 ,10.217290 ,9.440997 ,
258 ,53.106127 ,8.040312 ,11.687260 ,
259 ,50.087151 ,9.215310 ,9.759108 ,
260 ,49.622758 ,9.344619 ,10.059533 ,
262 ,35.491464 ,18.210226 ,5.590189 ,
263 ,52.051456 ,8.506360 ,11.667560 ,
264 ,52.629480 ,8.086032 ,10.878304 ,
265 ,55.469087 ,7.383910 ,12.574417 ,
266 ,56.790924 ,6.999686 ,13.115629 ,
268 ,49.914351 ,9.583218 ,9.807082 ,
269 ,45.432044 ,11.389732 ,8.632209 ,
270 ,51.990137 ,8.393515 ,11.099450 ,
271 ,52.733034 ,8.168834 ,11.491064 ,
272 ,56.146641 ,7.089978 ,12.509692 ,
274 ,57.332028 ,6.819353 ,13.166731 ,
275 ,59.447343 ,6.170590 ,13.512651 ,
276 ,46.801871 ,10.573294 ,9.240472 ,
277 ,54.900060 ,7.507906 ,12.357203 ,
278 ,56.328975 ,7.185854 ,13.208228 ,
280 ,53.787555 ,7.889703 ,11.925291 ,
281 ,43.846165 ,12.098799 ,8.121581 ,
282 ,55.007921 ,7.610443 ,12.748877 ,
283 ,64.953760 ,5.155347 ,16.955932 ,
284 ,61.138440 ,5.676931 ,13.433599 ,
286 ,54.812729 ,7.433500 ,11.664601 ,
287 ,57.234591 ,7.035564 ,13.293894 ,
288 ,54.504147 ,7.648427 ,12.170323 ,
289 ,56.726855 ,6.875375 ,12.564558 ,
290 ,48.713612 ,9.824672 ,10.164671 ,
292 ,58.934041 ,6.383679 ,13.971299 ,
293 ,59.708154 ,6.205857 ,14.305755 ,
294 ,58.107196 ,6.630801 ,13.389189 ,
295 ,46.766112 ,11.377757 ,9.880691 ,
296 ,59.736724 ,6.258466 ,14.731536 ,
298 ,65.300853 ,5.306940 ,16.066280 ,
299 ,49.271801 ,10.687790 ,10.866926 ,
300 ,53.938459 ,8.330067 ,12.300354 ,
301 ,68.733737 ,4.518824 ,17.731800 ,
302 ,50.492030 ,9.444322 ,12.181613 ,
304 ,68.916362 ,4.455352 ,18.156539 ,
305 ,58.811520 ,7.006196 ,13.776867 ,
306 ,67.868698 ,4.799695 ,17.557429 ,
307 ,65.535863 ,5.139610 ,16.547172 ,
308 ,62.043906 ,6.015751 ,15.238309 ,
310 ,65.442346 ,5.262878 ,16.132193 ,
311 ,72.151528 ,3.892296 ,18.791087 ,
312 ,79.056373 ,3.047465 ,20.688334 ,
313 ,77.468746 ,3.178875 ,19.371018 ,
314 ,63.968844 ,6.149624 ,16.121285 ,
316 ,65.367232 ,5.043973 ,15.824159 ,
317 ,53.208585 ,7.902025 ,10.938559 ,
318 ,52.790082 ,8.092355 ,10.634199 ,
319 ,61.569795 ,5.803731 ,14.174260 ,
320 ,58.874884 ,6.286180 ,12.913340 ,
322 ,52.097773 ,8.336318 ,10.517523 ,
323 ,53.022106 ,8.050165 ,11.422249 ,
324 ,55.381732 ,7.110457 ,11.110925 ,
325 ,50.771865 ,8.988305 ,10.486404 ,
326 ,52.141000 ,8.375731 ,11.368015 ,
328 ,53.948604 ,7.702979 ,11.554164 ,
329 ,52.083826 ,8.310565 ,10.795523 ,
330 ,60.358951 ,5.940993 ,13.322906 ,
331 ,63.167537 ,5.346470 ,14.884786 ,
332 ,54.342146 ,7.525623 ,11.419535 ,
334 ,52.713218 ,8.048038 ,10.779913 ,
335 ,54.779566 ,7.523130 ,12.117522 ,
336 ,53.947473 ,7.869700 ,12.415993 ,
337 ,59.005625 ,6.226832 ,12.973440 ,
338 ,49.013496 ,9.634627 ,9.842192 ,
340 ,55.162516 ,7.575801 ,12.702390 ,
341 ,52.507495 ,8.623672 ,11.642546 ,
342 ,56.294157 ,7.193830 ,13.100275 ,
343 ,55.263735 ,7.379239 ,12.447095 ,
344 ,54.068899 ,8.017058 ,11.792985 ,
346 ,52.650021 ,8.294513 ,11.583676 ,
347 ,58.023407 ,6.609928 ,13.464492 ,
348 ,62.053504 ,5.734571 ,14.959245 ,
349 ,61.321852 ,5.892271 ,14.215325 ,
350 ,54.137944 ,8.035691 ,12.500490 ,
352 ,61.066457 ,5.887430 ,14.951822 ,
353 ,65.347689 ,4.998767 ,16.203880 ,
354 ,59.245331 ,6.247129 ,13.666441 ,
355 ,63.341993 ,5.380516 ,14.976359 ,
356 ,63.149307 ,5.419021 ,15.465081 ,
358 ,68.750795 ,4.516136 ,16.524829 ,
359 ,64.228117 ,5.579789 ,16.101472 ,
360 ,64.296699 ,5.224100 ,15.532028 ,
361 ,78.470252 ,3.121383 ,20.058677 ,
362 ,70.444649 ,4.120382 ,17.650261 ,
364 ,69.852783 ,5.092306 ,17.337340 ,
365 ,70.788119 ,4.102800 ,17.850729 ,
366 ,79.882432 ,2.968088 ,20.405874 ,
367 ,73.315955 ,3.787991 ,18.244755 ,
368 ,64.167383 ,5.633486 ,17.347801 ,
370 ,67.605534 ,4.796179 ,17.494662 ,
371 ,76.303788 ,3.614412 ,20.919273 ,
372 ,87.798747 ,2.345568 ,23.150702 ,
373 ,93.800955 ,1.952686 ,24.491806 ,
374 ,74.896018 ,5.116868 ,18.396960 ,
376 ,55.403432 ,7.099433 ,11.012217 ,
377 ,55.558932 ,7.091126 ,11.442715 ,
378 ,50.987893 ,8.758127 ,10.702754 ,
379 ,55.255041 ,7.280899 ,11.964797 ,
380 ,55.876270 ,7.063302 ,11.941644 ,
382 ,52.362524 ,8.361715 ,10.636140 ,
383 ,55.200589 ,7.420080 ,12.124396 ,
384 ,53.425166 ,7.954506 ,11.659147 ,
385 ,52.310006 ,8.319813 ,11.188389 ,
386 ,53.187848 ,7.966962 ,11.511743 ,
388 ,54.967979 ,7.372604 ,11.970136 ,
389 ,52.779793 ,8.166964 ,11.695124 ,
390 ,58.060519 ,6.478537 ,12.643111 ,
391 ,52.672702 ,8.374486 ,11.481366 ,
392 ,54.708872 ,7.497750 ,11.653713 ,
394 ,51.418982 ,9.067540 ,10.832101 ,
395 ,59.317306 ,6.517056 ,14.323517 ,
396 ,67.075891 ,4.801857 ,17.189840 ,
397 ,58.149863 ,6.910027 ,13.975753 ,
398 ,67.994949 ,4.726984 ,16.638078 ,
400 ,76.780650 ,3.282951 ,19.711336 ,
401 ,74.096208 ,3.664071 ,18.641989 ,
402 ,73.830833 ,3.581419 ,18.270479 ,
403 ,65.512245 ,4.966587 ,15.649177 ,
404 ,68.883302 ,4.352447 ,16.958786 ,
406 ,64.760550 ,5.389211 ,15.185426 ,
407 ,61.507319 ,6.704001 ,15.900390 ,
408 ,70.168589 ,4.208119 ,18.342617 ,
409 ,56.281755 ,7.345141 ,13.035868 ,
410 ,71.149049 ,4.177489 ,18.256055 ,
412 ,88.467751 ,2.895231 ,24.488463 ,
413 ,74.785610 ,3.912170 ,20.824371 ,
414 ,72.544875 ,3.843837 ,17.150569 ,
415 ,57.164878 ,7.242113 ,13.056119 ,
416 ,57.964236 ,7.617020 ,13.309192 ,
418 ,66.992077 ,4.752807 ,17.232580 ,
419 ,80.538994 ,3.087337 ,20.718708 ,
420 ,74.186120 ,3.749152 ,19.596672 ,
421 ,74.237856 ,3.952711 ,18.856993 ,
422 ,83.371411 ,2.743280 ,21.617900 ,
424 ,80.070650 ,3.067449 ,20.993648 ,
425 ,76.456567 ,3.426665 ,19.019375 ,
426 ,70.431616 ,4.276185 ,18.547459 ,
427 ,79.689018 ,3.606816 ,20.987831 ,
428 ,71.711579 ,4.387340 ,18.833612 ,
430 ,78.012975 ,3.183356 ,20.162995 ,
431 ,83.315010 ,2.633317 ,21.605633 ,
432 ,94.504171 ,2.011862 ,24.750532 ,
433 ,78.678933 ,3.250657 ,20.780045 ,
434 ,76.590105 ,3.888782 ,20.608849 ,
436 ,83.853105 ,2.714745 ,23.192183 ,
437 ,101.865110 ,2.220221 ,28.383932 ,
438 ,100.129090 ,1.986348 ,26.915628 ,
439 ,103.661070 ,1.749387 ,28.354929 ,
440 ,93.992990 ,2.263206 ,25.166359 ,
442 ,98.982170 ,2.563605 ,26.432445 ,
443 ,96.115477 ,3.098060 ,27.477419 ,
444 ,101.710450 ,1.987245 ,27.584390 ,
445 ,106.739830 ,1.725767 ,28.926801 ,
446 ,96.837516 ,2.360538 ,25.384549 ,
448 ,96.939353 ,2.058400 ,27.784832 ,
449 ,97.699899 ,2.429178 ,28.429474 ,
450 ,95.162940 ,2.430376 ,27.041763 ,
451 ,102.711030 ,1.749186 ,28.921212 ,
452 ,115.056110 ,1.792950 ,32.370128 ,
454 ,110.837660 ,1.973163 ,30.669549 ,
455 ,113.546260 ,1.851990 ,30.858137 ,
456 ,114.929570 ,2.214887 ,31.725703 ,
457 ,103.955710 ,1.945997 ,27.842456 ,
458 ,89.800408 ,2.884162 ,24.453360 ,
460 ,99.664091 ,2.874426 ,27.608815 ,
461 ,111.482660 ,1.783007 ,30.284540 ,
462 ,88.649455 ,2.622212 ,24.431849 ,
463 ,97.057716 ,2.465888 ,26.161154 ,
464 ,64.977068 ,6.492998 ,15.627755 ,
466 ,70.708202 ,4.097421 ,16.755203 ,
467 ,80.858785 ,3.456609 ,22.950698 ,
468 ,105.545110 ,2.262764 ,29.497052 ,
469 ,111.705050 ,2.317982 ,31.250726 ,
470 ,88.446137 ,3.138108 ,25.124000 ,
472 ,117.103340 ,1.884745 ,32.110134 ,
473 ,111.364490 ,1.690676 ,30.294901 ,
474 ,121.490250 ,1.805774 ,33.775795 ,
475 ,91.849999 ,2.831176 ,26.610143 ,
476 ,102.051850 ,2.455889 ,29.978420 ,
478 ,93.525090 ,2.164528 ,27.786136 ,
479 ,111.053060 ,2.105241 ,31.309657 ,
480 ,119.826590 ,1.823437 ,34.508521 ,
481 ,115.156490 ,1.818516 ,31.484170 ,
482 ,78.918177 ,4.059924 ,21.417505 ,
484 ,92.548608 ,2.014865 ,24.254987 ,
485 ,78.679099 ,3.370515 ,21.598880 ,
486 ,92.078972 ,2.178568 ,24.708553 ,
487 ,105.916740 ,2.108643 ,28.350095 ,
488 ,85.969142 ,3.985348 ,23.854775 ,
490 ,86.409196 ,2.569362 ,23.616527 ,
491 ,102.329560 ,1.880003 ,28.452789 ,
492 ,99.176022 ,1.937465 ,28.578500 ,
493 ,115.253810 ,2.071854 ,32.124076 ,
494 ,88.772561 ,2.858206 ,25.046963 ,
496 ,115.258410 ,1.862877 ,32.609574 ,
497 ,111.238560 ,1.892049 ,27.806191 ,
498 ,82.434600 ,3.635568 ,21.639664 ,
499 ,117.219960 ,1.877877 ,30.313249 ,
500 ,92.418372 ,3.029778 ,26.788011 ,
502 ,106.039050 ,1.893440 ,28.730054 ,
503 ,112.780460 ,2.283119 ,30.800738 ,
504 ,131.761210 ,1.923979 ,36.712469 ,
505 ,148.049610 ,2.128944 ,41.475342 ,
506 ,154.415710 ,2.212306 ,39.083741 ,
508 ,137.420480 ,1.932774 ,36.488570 ,
509 ,147.013420 ,2.062450 ,39.956058 ,
510 ,129.224580 ,1.859479 ,34.840454 ,
511 ,157.155380 ,2.141421 ,41.546662 ,
512 ,141.978520 ,2.243363 ,39.289573 ,
514 ,144.439720 ,2.042598 ,37.337579 ,
515 ,160.777180 ,2.139544 ,41.067109 ,
516 ,134.050790 ,1.936228 ,36.428634 ,
517 ,155.538780 ,2.089653 ,39.516221 ,
518 ,166.411460 ,2.247483 ,43.816602 ,
520 ,138.655020 ,1.965201 ,36.879167 ,
521 ,139.453240 ,2.009311 ,36.571095 ,
522 ,123.450500 ,2.340857 ,33.024361 ,
523 ,163.664820 ,2.266738 ,44.291855 ,
524 ,119.534460 ,2.373924 ,31.433653 ,
526 ,155.300490 ,2.174319 ,42.467158 ,
527 ,152.519150 ,2.060992 ,39.300932 ,
528 ,155.790520 ,2.071833 ,39.290349 ,
529 ,162.088330 ,2.250972 ,43.855505 ,
530 ,140.445620 ,2.270853 ,36.780060 ,
532 ,113.556490 ,2.771912 ,30.909277 ,
533 ,140.664000 ,2.494744 ,36.885358 ,
534 ,152.672210 ,2.167529 ,41.294756 ,
535 ,154.364710 ,2.071477 ,37.750132 ,
536 ,183.849850 ,2.357205 ,42.751690 ,
538 ,178.501460 ,2.376202 ,46.160474 ,
539 ,114.710770 ,2.110426 ,32.684581 ,
540 ,145.694420 ,1.996414 ,36.997207 ,
541 ,133.885500 ,2.002934 ,34.686933 ,
542 ,144.643230 ,2.047756 ,38.456142 ,
544 ,190.008420 ,2.478035 ,47.989202 ,
545 ,174.833870 ,2.274035 ,43.432413 ,
546 ,146.466480 ,2.065813 ,38.869675 ,
547 ,124.255490 ,2.155593 ,33.659273 ,
548 ,137.757100 ,1.928213 ,36.148095 ,
550 ,139.498290 ,2.083099 ,39.974342 ,
551 ,138.214410 ,1.953527 ,37.127592 ,
552 ,137.204590 ,2.053885 ,36.511740 ,
553 ,145.552060 ,2.155950 ,37.933476 ,
554 ,133.850020 ,2.635155 ,34.913089 ,
556 ,164.922430 ,2.196175 ,42.145569 ,
557 ,125.966900 ,1.886134 ,34.397248 ,
558 ,125.933270 ,1.900621 ,34.719812 ,
559 ,157.269790 ,2.141235 ,40.905098 ,
560 ,140.552580 ,1.983589 ,37.923935 ,
562 ,154.292020 ,2.071049 ,39.497277 ,
563 ,166.145110 ,2.200377 ,41.990995 ,
564 ,156.232750 ,2.190256 ,40.948663 ,
565 ,174.247660 ,2.218189 ,41.971926 ,
566 ,183.649710 ,2.339883 ,44.210580 ,
568 ,150.469780 ,2.093858 ,40.336066 ,
569 ,151.713530 ,2.021474 ,38.169333 ,
570 ,143.165680 ,1.985624 ,36.965467 ,
571 ,150.187760 ,2.218560 ,39.845263 ,
572 ,182.878720 ,2.390284 ,46.062408 ,
574 ,160.869220 ,2.114273 ,39.993914 ,
575 ,131.016740 ,1.985409 ,33.243411 ,
576 ,158.656740 ,2.153812 ,41.044143 ,
577 ,187.018840 ,2.492692 ,48.711695 ,
578 ,171.401840 ,2.271504 ,44.050741 ,
580 ,173.785080 ,2.394645 ,47.229901 ,
581 ,218.368430 ,2.646243 ,49.383482 ,
582 ,182.556080 ,2.336711 ,43.350568 ,
583 ,181.705370 ,2.311615 ,43.960565 ,
584 ,173.426800 ,2.364427 ,42.380917 ,
586 ,172.294040 ,2.286686 ,44.382574 ,
587 ,206.590980 ,2.719992 ,52.734163 ,
588 ,196.107490 ,2.580852 ,50.345809 ,
589 ,209.183670 ,2.579422 ,49.188345 ,
590 ,180.413130 ,2.371141 ,44.967764 ,
592 ,190.152690 ,2.372627 ,44.827816 ,
593 ,165.446580 ,2.263631 ,43.601540 ,
594 ,169.442990 ,2.547173 ,41.940621 ,
595 ,179.793880 ,2.348805 ,44.939283 ,
596 ,208.082860 ,2.751195 ,53.280476 ,
598 ,158.508200 ,2.351872 ,43.128528 ,
599 ,182.049900 ,2.376480 ,45.648303 ,
600 ,185.651400 ,2.479484 ,48.646995 ,
601 ,229.580630 ,2.951515 ,54.457358 ,
602 ,227.382120 ,2.927011 ,56.217485 ,
604 ,203.468310 ,2.659019 ,50.630235 ,
605 ,196.076430 ,2.501476 ,47.946097 ,
606 ,244.881200 ,2.966882 ,56.061966 ,
607 ,142.839690 ,3.611374 ,37.582664 ,
608 ,171.160690 ,2.402514 ,47.634929 ,
610 ,182.315230 ,2.363043 ,45.535679 ,
611 ,156.059450 ,2.138254 ,41.496323 ,
612 ,206.217270 ,2.635680 ,50.357601 ,
613 ,185.975280 ,2.407449 ,46.207995 ,
614 ,253.473520 ,3.106070 ,58.306716 ,
616 ,210.370990 ,2.696739 ,52.325796 ,
617 ,190.889560 ,2.632973 ,50.012284 ,
618 ,208.480130 ,2.645269 ,50.743196 ,
619 ,186.004880 ,2.460398 ,47.299208 ,
620 ,226.178540 ,2.883169 ,55.109969 ,
622 ,210.357060 ,2.658319 ,51.283578 ,
623 ,239.673980 ,2.888177 ,54.529840 ,
624 ,220.734620 ,2.800997 ,53.089145 ,
625 ,222.877410 ,2.857221 ,53.959918 ,
626 ,180.728940 ,2.390591 ,46.670249 ,
628 ,213.091990 ,2.672169 ,51.321392 ,
629 ,236.146760 ,2.943107 ,55.940350 ,
630 ,184.272660 ,2.427527 ,46.883675 ,
631 ,182.176320 ,2.405498 ,46.163695 ,
632 ,211.731390 ,2.689858 ,52.232378 ,
634 ,196.727390 ,2.420322 ,45.656273 ,
635 ,197.755020 ,2.574206 ,50.341727 ,
636 ,179.304300 ,2.454799 ,46.223621 ,
637 ,185.524350 ,2.443745 ,47.024347 ,
638 ,166.995370 ,2.273253 ,44.635145 ,
640 ,140.941340 ,2.354624 ,38.764044 ,
641 ,183.793310 ,2.387460 ,46.448955 ,
642 ,199.319070 ,2.532173 ,48.820668 ,
643 ,180.596830 ,2.359849 ,45.045794 ,
644 ,183.004530 ,2.347952 ,44.730278 ,
646 ,197.262650 ,2.503812 ,47.977410 ,
647 ,171.511680 ,2.258463 ,43.382445 ,
648 ,188.291490 ,2.479135 ,47.788121 ,
649 ,195.765120 ,2.535342 ,47.887669 ,
650 ,213.770830 ,2.753729 ,53.394924 ,
652 ,153.164610 ,1.973803 ,36.303918 ,
653 ,173.661650 ,2.355316 ,46.136159 ,
654 ,202.325240 ,2.550690 ,48.088850 ,
655 ,166.192700 ,2.614112 ,41.255691 ,
656 ,187.192400 ,2.392764 ,45.492145 ,
658 ,159.380680 ,2.132552 ,40.820300 ,
659 ,222.409500 ,2.787753 ,53.305324 ,
660 ,174.411010 ,2.184153 ,40.533309 ,
661 ,211.719400 ,2.595245 ,49.429954 ,
662 ,193.494490 ,2.479261 ,47.433702 ,
664 ,198.328790 ,2.545112 ,48.769477 ,
665 ,160.723800 ,2.208779 ,42.110265 ,
666 ,202.569390 ,2.662096 ,51.995865 ,
667 ,210.827220 ,2.694939 ,51.993350 ,
668 ,197.886320 ,2.773874 ,49.908829 ,
670 ,196.730620 ,2.415419 ,45.211996 ,
671 ,200.950040 ,2.594083 ,49.129468 ,
672 ,194.071230 ,2.473046 ,47.111989 ,
673 ,235.139270 ,2.860188 ,53.594677 ,
674 ,223.972810 ,2.722191 ,51.029958 ,
676 ,220.676170 ,2.807273 ,53.971886 ,
677 ,244.044840 ,2.924642 ,54.840606 ,
678 ,215.240490 ,2.816242 ,53.511934 ,
679 ,210.659570 ,2.658899 ,51.226480 ,
680 ,254.488810 ,3.188213 ,60.716463 ,
682 ,259.888880 ,3.338894 ,63.486441 ,
683 ,248.350040 ,3.069014 ,57.880918 ,
684 ,195.478700 ,2.485173 ,45.790752 ,
685 ,250.456730 ,3.143749 ,58.355388 ,
686 ,231.511980 ,2.879424 ,54.537639 ,
688 ,221.905950 ,2.847637 ,53.773485 ,
689 ,253.094970 ,3.268785 ,61.183657 ,
690 ,231.900630 ,2.976802 ,57.714560 ,
691 ,257.898980 ,3.118315 ,58.088650 ,
692 ,272.741980 ,3.368250 ,61.390749 ,
694 ,196.849170 ,2.761177 ,54.544286 ,
695 ,267.840430 ,3.523238 ,67.131347 ,
696 ,303.340950 ,4.012073 ,74.440887 ,
697 ,252.984690 ,3.303708 ,63.890756 ,
698 ,227.756680 ,3.128136 ,61.431538 ,
700 ,261.478220 ,3.600545 ,70.541423 ,
701 ,226.980660 ,2.971587 ,57.237559 ,
702 ,207.183930 ,2.849883 ,56.766648 ,
703 ,233.876880 ,3.206286 ,63.169768 ,
704 ,248.026310 ,3.290200 ,63.830499 ,
706 ,212.606910 ,3.004009 ,56.310028 ,
707 ,235.625360 ,3.121490 ,60.384587 ,
708 ,192.742100 ,2.675353 ,52.378941 ,
709 ,274.474660 ,3.595072 ,66.936517 ,
710 ,239.116840 ,3.235699 ,61.754302 ,
712 ,255.830260 ,3.275201 ,62.271746 ,
713 ,244.507590 ,3.244127 ,62.505028 ,
714 ,207.202990 ,2.750407 ,53.979178 ,
715 ,296.321260 ,4.183499 ,72.562468 ,
716 ,306.977080 ,4.005329 ,70.567075 ,
718 ,232.381670 ,3.064841 ,58.478697 ,
719 ,260.320450 ,3.849261 ,71.897256 ,
720 ,288.382820 ,3.768614 ,70.155806 ,
721 ,282.145910 ,3.713105 ,69.435111 ,
722 ,260.659130 ,3.382308 ,64.604290 ,
724 ,253.665170 ,3.384896 ,64.228444 ,
725 ,293.178840 ,3.856441 ,72.375347 ,
726 ,276.456020 ,3.629162 ,68.538602 ,
727 ,292.704300 ,3.802504 ,70.380302 ,
728 ,313.052980 ,3.936261 ,71.370922 ,
730 ,276.005520 ,3.581919 ,67.413902 ,
731 ,322.280770 ,4.409469 ,80.610730 ,
732 ,292.250300 ,3.931366 ,73.369792 ,
733 ,296.501450 ,3.852455 ,71.327224 ,
734 ,295.830750 ,3.765198 ,69.610881 ,
736 ,271.129970 ,3.691029 ,69.773665 ,
737 ,251.396740 ,3.427860 ,66.584404 ,
738 ,256.884190 ,3.504178 ,67.285768 ,
739 ,261.255530 ,3.639928 ,70.098191 ,
740 ,264.333620 ,3.493253 ,66.712174 ,
742 ,224.935530 ,3.099664 ,58.936887 ,
743 ,231.897950 ,3.147183 ,60.907205 ,
744 ,290.638260 ,3.882219 ,73.130217 ,
745 ,249.122120 ,3.319239 ,63.813041 ,
746 ,290.471040 ,4.014535 ,75.078890 ,
748 ,294.834140 ,3.746813 ,68.031849 ,
749 ,240.830750 ,3.142211 ,59.779169 ,
750 ,256.778430 ,3.553832 ,68.644630 ,
751 ,243.401610 ,3.319897 ,65.050035 ,
752 ,264.788770 ,3.607661 ,68.132632 ,
754 ,240.530870 ,3.071557 ,57.059363 ,
755 ,269.959310 ,3.723818 ,66.156832 ,
756 ,227.636960 ,3.236764 ,63.105462 ,
757 ,208.891670 ,3.309584 ,68.937312 ,
758 ,208.655490 ,2.913821 ,54.276250 ,
760 ,264.985920 ,3.679307 ,69.630690 ,
761 ,282.753680 ,3.740122 ,69.016792 ,
762 ,251.243700 ,3.441202 ,67.114992 ,
763 ,258.242620 ,3.427368 ,63.621169 ,
764 ,256.084190 ,3.476589 ,66.689081 ,
766 ,295.595600 ,4.030351 ,72.390302 ,
767 ,230.222720 ,3.129365 ,60.145946 ,
768 ,287.435270 ,3.988181 ,75.385252 ,
769 ,243.442300 ,3.424704 ,66.752790 ,
770 ,255.613990 ,3.288644 ,61.698785 ,
