s,C,%,ug/m3,
Time,temp,humid,density_CO,
918 ,184.804010 ,2.381757 ,44.904346 ,
919 ,315.739620 ,4.217450 ,75.539909 ,
920 ,266.528610 ,3.661788 ,69.731965 ,
922 ,250.795130 ,3.278956 ,62.363921 ,
923 ,209.016120 ,2.811469 ,53.249956 ,
924 ,326.115970 ,4.668298 ,85.310899 ,
925 ,262.228990 ,3.719486 ,72.668898 ,
926 ,298.586790 ,4.175635 ,76.249801 ,
928 ,331.644360 ,4.602182 ,81.200882 ,
929 ,253.819490 ,3.684115 ,70.198728 ,
930 ,213.684380 ,2.827324 ,53.657598 ,
931 ,267.591100 ,3.685726 ,70.671738 ,
932 ,216.149970 ,2.923423 ,52.767704 ,
934 ,203.567050 ,2.963937 ,57.884910 ,
935 ,206.121530 ,2.711586 ,50.290425 ,
936 ,204.174060 ,2.611278 ,47.195580 ,
937 ,181.351710 ,2.493964 ,48.133725 ,
938 ,213.468160 ,2.857646 ,55.297335 ,
940 ,215.478300 ,3.181617 ,60.038682 ,
941 ,233.814890 ,3.410029 ,67.824847 ,
942 ,192.454100 ,2.686938 ,51.766565 ,
943 ,240.230640 ,3.171908 ,59.316552 ,
944 ,279.532300 ,3.956377 ,71.995721 ,
946 ,258.355950 ,3.662505 ,66.613707 ,
947 ,236.562060 ,3.195809 ,57.465668 ,
948 ,284.337170 ,4.049816 ,75.021156 ,
949 ,224.178260 ,3.191759 ,61.329629 ,
950 ,241.956590 ,3.528636 ,68.231624 ,
952 ,293.780050 ,3.893360 ,71.485576 ,
953 ,253.094850 ,3.593098 ,67.981776 ,
954 ,244.669650 ,3.691125 ,73.743878 ,
955 ,213.894780 ,2.970254 ,56.055368 ,
956 ,279.490540 ,3.872777 ,71.362326 ,
958 ,229.957720 ,3.068741 ,57.989245 ,
959 ,252.947870 ,3.435561 ,65.099190 ,
960 ,199.136730 ,3.078267 ,53.660169 ,
961 ,277.607250 ,3.966149 ,73.559231 ,
962 ,222.274870 ,3.054424 ,58.614298 ,
964 ,186.693320 ,2.704235 ,53.321003 ,
965 ,204.322640 ,2.949740 ,57.759286 ,
966 ,201.827750 ,2.953228 ,59.082366 ,
967 ,249.616570 ,3.739606 ,72.163131 ,
968 ,222.277930 ,3.345128 ,67.454757 ,
970 ,211.307950 ,3.189967 ,63.484750 ,
971 ,171.675580 ,2.574424 ,49.872886 ,
972 ,153.408190 ,2.248537 ,41.667267 ,
973 ,195.743280 ,2.819306 ,57.230675 ,
974 ,190.018500 ,2.806230 ,55.631759 ,
976 ,190.592860 ,2.857822 ,57.355448 ,
977 ,249.207080 ,3.443479 ,65.441920 ,
978 ,225.899060 ,3.305247 ,66.894474 ,
979 ,186.591230 ,3.018943 ,62.395183 ,
980 ,235.064350 ,3.628324 ,73.798713 ,
982 ,234.313840 ,3.499188 ,70.010809 ,
983 ,184.347070 ,2.884348 ,59.315176 ,
984 ,201.222550 ,3.018507 ,59.885706 ,
985 ,217.002390 ,3.027245 ,57.787394 ,
986 ,224.964790 ,3.608184 ,73.868079 ,
988 ,208.154720 ,2.878176 ,57.080607 ,
989 ,205.534960 ,2.853619 ,54.997989 ,
990 ,196.860490 ,2.749893 ,53.650031 ,
991 ,180.960250 ,2.699821 ,52.727383 ,
992 ,236.037460 ,3.408555 ,67.079966 ,
994 ,178.351140 ,2.580907 ,52.149371 ,
995 ,274.223540 ,4.051313 ,78.680097 ,
996 ,211.543930 ,2.744295 ,51.824046 ,
997 ,174.778790 ,2.317847 ,44.419851 ,
998 ,159.661750 ,2.235087 ,40.707033 ,
1000 ,149.936310 ,1.845157 ,32.244516 ,
1001 ,170.740510 ,2.601566 ,48.733865 ,
1002 ,178.778220 ,2.562269 ,50.753050 ,
1003 ,191.496280 ,2.581017 ,50.477675 ,
1004 ,180.076220 ,2.617490 ,52.582203 ,
1006 ,216.950930 ,3.045866 ,60.914672 ,
1007 ,132.070610 ,2.055632 ,32.724422 ,
1008 ,156.830400 ,2.274102 ,43.444807 ,
1009 ,172.436790 ,2.582441 ,45.600435 ,
1010 ,209.131500 ,3.119198 ,59.667268 ,
1012 ,185.143440 ,2.676977 ,53.556321 ,
1013 ,205.842290 ,2.864078 ,56.922823 ,
1014 ,184.886640 ,2.825430 ,57.182553 ,
1015 ,184.932010 ,2.556200 ,50.788798 ,
1016 ,199.803150 ,2.820854 ,54.404907 ,
1018 ,231.276820 ,3.249510 ,63.144237 ,
1019 ,174.443140 ,2.542240 ,51.326712 ,
1020 ,175.583030 ,2.314964 ,44.718178 ,
1021 ,188.614700 ,2.600805 ,49.343741 ,
1022 ,167.433810 ,2.335683 ,45.408968 ,
1024 ,170.575880 ,2.353626 ,43.857315 ,
1025 ,210.469150 ,2.847664 ,55.523353 ,
1026 ,186.310830 ,2.449746 ,45.995046 ,
1027 ,213.810460 ,2.873113 ,54.444112 ,
1028 ,218.675120 ,2.995238 ,58.667556 ,
1030 ,189.638410 ,2.769718 ,56.633870 ,
1031 ,182.522520 ,2.362700 ,44.247459 ,
1032 ,181.244780 ,2.497287 ,47.579524 ,
1033 ,261.432910 ,3.326976 ,62.785192 ,
1034 ,239.925760 ,3.558319 ,70.573671 ,
1036 ,197.206990 ,2.725277 ,53.262119 ,
1037 ,252.717470 ,3.661571 ,71.967446 ,
1038 ,186.506020 ,2.705625 ,53.488636 ,
1039 ,256.104980 ,3.721789 ,70.960747 ,
1040 ,192.586980 ,2.670927 ,51.827577 ,
1042 ,256.137760 ,3.465780 ,63.671518 ,
1043 ,262.400790 ,3.771109 ,71.165787 ,
1044 ,246.863530 ,3.344288 ,63.831927 ,
1045 ,223.524780 ,3.181818 ,61.900073 ,
1046 ,198.364910 ,2.903022 ,57.403460 ,
1048 ,221.586190 ,2.998667 ,57.900470 ,
1049 ,239.870500 ,3.390127 ,61.561566 ,
1050 ,234.043700 ,2.909770 ,54.885131 ,
1051 ,219.804570 ,2.816978 ,53.591949 ,
1052 ,212.671500 ,3.265933 ,51.106978 ,
1054 ,216.683050 ,2.779715 ,52.158864 ,
1055 ,187.346740 ,2.358360 ,44.524422 ,
