time,temp,humid,gas,smoke,defuzz
127.204160,54.134151,7.696686,11.208485,28.775306,79.505090
128.415230,51.169613,9.332017,9.241311,23.725022,78.181003
129.614480,50.015718,9.866452,9.313724,23.910926,77.514161
130.822400,63.514890,5.147407,13.685991,35.135754,79.698047
132.002680,54.217860,7.439183,9.698996,24.900027,79.533283
133.211070,56.373680,6.841719,9.785968,25.123308,80.072380
134.405230,54.833163,7.083178,9.409899,24.157834,79.723842
135.606020,55.791842,7.033590,10.442579,26.809011,79.962165
136.806810,60.208685,5.769138,11.643384,29.891814,79.245616
138.007600,44.253088,11.895430,6.813663,17.492573,78.960982
139.212720,46.362845,10.771164,8.062001,20.697403,78.732485
140.423680,53.120631,7.721659,9.471892,24.316987,79.121950
141.601960,54.970316,7.408819,10.960367,28.138318,79.762333
142.804100,47.598785,9.962896,7.825548,20.090363,78.252705
144.002930,52.483833,8.065389,9.899109,25.413772,78.842955
145.206240,47.695995,10.056487,7.904242,20.292391,78.418725
146.403370,48.241381,9.543971,7.783776,19.983122,78.162177
147.621490,50.947764,8.569348,9.014238,23.142063,78.058630
148.804330,51.047023,8.516705,8.774711,22.527130,78.113752
150.022320,56.899788,6.661123,10.701077,27.472649,80.150569
151.211570,51.899648,8.583968,9.804308,25.170391,78.562486
152.411430,61.569335,5.612978,13.164026,33.795724,78.921237
153.600650,54.195886,7.626639,10.093590,25.913059,79.525943
154.823750,58.235678,6.400688,11.787579,30.262001,79.006742
156.013230,57.357799,6.544234,11.037075,28.335247,79.974693
157.218690,49.983688,9.069083,8.664308,22.243694,77.514523
158.419960,54.491182,7.222577,9.375415,24.069303,79.621540
159.619750,53.757155,7.715690,10.248361,26.310400,79.371565
160.803110,50.131414,9.536636,9.358988,24.027131,77.584297
162.007620,48.905477,9.860544,8.954430,22.988518,78.139895
163.206540,54.484588,8.211848,11.281957,28.963929,79.619477
164.421860,48.327864,10.557247,9.405252,24.145904,78.447187
165.620870,54.212423,7.554662,10.605195,27.226493,79.531473
166.801780,58.063943,6.422180,11.916923,30.594062,78.772403
168.021150,49.536032,9.244595,9.245835,23.736636,77.781961
169.218260,51.461583,8.359221,9.304482,23.887200,78.337565
170.425300,54.787561,7.441830,10.301794,26.447576,79.710731
171.620400,52.891738,7.911146,9.296756,23.867364,79.024967
172.812910,51.610047,8.175960,8.532300,21.904791,78.415147
174.022600,49.140421,9.165316,8.055989,20.681969,78.009149
175.214580,52.609610,7.981968,9.547500,24.511093,78.900315
176.420820,53.499692,7.716016,10.185903,26.150053,79.274200
177.619040,56.433411,6.913155,11.768582,30.213231,79.039583
178.819950,53.278895,7.811713,10.283337,26.400194,79.186796
180.012010,50.863872,9.004614,8.931085,22.928584,78.011575
181.218520,49.673738,9.218600,8.565536,21.990119,77.700805
182.401590,46.931658,10.704058,8.798032,22.587000,79.100127
183.608930,53.726458,7.935062,10.584446,27.173224,79.360206
184.823090,50.615011,9.085020,9.238921,23.718886,77.869730
186.009930,48.479851,9.747724,8.617164,22.122663,78.368307
187.204370,54.155666,7.302609,9.071007,23.287804,79.512384
188.424210,50.277755,8.752113,8.532261,21.904692,77.671980
189.602420,53.429984,7.656577,9.721168,24.956948,79.246998
190.821270,57.406464,6.658025,12.162488,31.224497,78.278376
192.001230,63.343299,5.267254,14.080391,36.148289,80.063585
193.206200,54.491596,7.300028,9.892782,25.397529,79.621669
